,o_loc,d_loc,hbw,hbo,nhb,am,md,pm,rd
112,6,18,3212.05128205,7572.69230769,3330.05128205,1735.48717949,5430.38461538,3529.84615385,2122.74358974
113,6,19,4426.43589744,10767.0,5934.53846154,2778.41025641,8222.97435897,5136.46153846,3534.43589744
114,7,1,20597.6153846,36920.1025641,10010.4102564,4297.05128205,27105.5641026,30893.7179487,23143.2820513
115,7,2,6999.56410257,12186.4358974,9540.1025641,3666.33333333,8932.05128205,3900.02564103,2393.82051282
116,7,3,1914.8974359,4124.1025641,3676.61538462,842.641025641,3470.53846154,2508.02564103,1517.05128205
117,7,4,8442.41025641,16977.7435897,11644.051282,4159.17948718,12824.1794872,8912.51282051,6039.97435897
118,7,5,3294.69230769,7324.53846154,5804.64102564,1680.28205128,6008.43589744,4420.1025641,2398.8974359
119,7,6,1262.74358974,2529.76923077,1866.94871795,491.487179487,1996.87179487,1436.1025641,1206.79487179
120,7,7,69718.1282051,62834.025641,113978.384615,60090.3333333,95849.3846154,57804.1025641,72168.1282051
121,7,8,6271.94871795,11290.7948718,8024.56410257,2155.33333333,9255.71794872,7736.46153846,4641.97435897
122,7,9,1102.02564103,2124.12820513,1371.94871795,405.102564103,1420.84615385,1258.17948718,725.948717949
123,7,10,4626.41025641,7435.28205128,4484.23076923,1487.97435897,6339.23076923,5470.02564103,3957.38461538
124,7,11,9455.23076923,17486.6410256,8115.69230769,2721.53846154,13038.5897436,12495.5384615,8947.56410256
125,7,12,5033.02564103,9172.87179487,6792.38461538,2309.46153846,6663.43589744,4080.82051282,2897.71794872
126,7,13,1971.17948718,3093.33333333,2221.51282051,747.358974359,2545.71794872,1920.12820513,1374.1025641
127,7,14,733.41025641,1047.48717949,970.41025641,201.179487179,1060.38461538,856.128205128,520.41025641
128,7,15,1241.71794872,2462.02564103,1441.48717949,483.384615385,2091.02564103,1727.38461538,1167.12820513
129,7,16,2871.48717949,6139.56410257,4291.12820513,1183.61538462,4752.92307692,3910.20512821,2398.30769231
130,7,17,121.256410256,171.051282051,70.1025641025,20.8205128205,155.538461539,201.820512821,102.58974359
131,7,18,6639.1025641,11630.3076923,7306.41025641,2491.33333333,8916.7948718,6758.61538462,4309.33333333
132,7,19,6013.20512821,9811.66666667,5299.46153846,2035.28205128,7419.20512821,5778.46153846,3881.51282051
133,8,1,15992.3589744,28151.5897436,7618.51282051,4460.17948718,19257.4358974,18733.5128205,14027.3333333
134,8,2,7217.8974359,10441.7179487,5579.82051282,3771.30769231,6249.02564103,2807.8974359,2343.94871795
135,8,3,4636.02564103,8820.74358974,4813.38461538,2428.82051282,6682.07692308,4213.23076923,3106.25641026
136,8,4,10285.1025641,17799.8717949,9108.05128205,5407.84615385,12321.2307692,7998.71794872,6482.53846154
137,8,5,2847.23076923,5492.12820513,3696.64102564,1730.1025641,3940.41025641,2067.23076923,1333.58974359
138,8,6,3988.05128205,7236.74358974,4062.82051282,2169.48717949,4703.0,3416.33333333,3255.17948718
139,8,7,5653.28205128,10410.7179487,8428.23076923,3642.48717949,8471.07692307,4391.07692308,2481.0
140,8,8,54013.7948718,58511.6410256,124404.589744,97964.5128205,114959.461538,81440.7435897,126521.025641
141,8,9,2274.74358974,4843.35897436,3179.46153846,1452.76923077,3562.23076923,2263.33333333,1680.48717949
142,8,10,7338.05128205,8635.15384615,5068.53846154,2480.23076923,8059.30769231,6538.05128205,4055.84615385
143,8,11,10472.2307692,21627.6923077,9872.8974359,5134.87179487,15538.9230769,12142.6923077,8453.69230769
144,8,12,4316.43589744,5638.05128205,3875.61538461,1677.94871795,4393.41025641,2790.46153846,1801.58974359
145,8,13,3464.05128205,5761.28205128,3247.17948718,1750.97435897,4308.43589744,2686.94871795,1943.76923077
146,8,14,1207.74358974,1898.38461538,1646.05128205,612.384615384,1759.38461538,1078.1025641,676.461538462
147,8,15,1498.30769231,3401.05128205,1231.28205128,618.358974359,2336.48717949,2355.02564103,1594.30769231
148,8,16,5012.61538462,9166.0,5897.28205128,2329.28205128,7266.41025641,4957.61538461,3451.41025641
149,8,17,783.923076922,1332.05128205,360.538461538,281.512820513,814.333333333,689.897435897,758.846153846
150,8,18,12248.6923077,25754.1282051,13453.0512821,6399.17948718,18000.8205128,12458.7692308,8477.02564102
151,8,19,8682.28205128,18275.7948718,10366.7948718,5221.8974359,13088.3589744,8014.48717949,6580.61538462
152,9,1,7072.25641025,12919.2307692,1398.84615385,2133.89743589,8382.79487179,8202.41025641,5733.02564103
153,9,2,2424.43589744,4001.05128205,3378.84615385,1469.97435897,3012.0,1747.8974359,1290.02564103
154,9,3,2683.66666667,5453.10256411,4032.33333333,1618.17948718,4563.87179487,2850.46153846,2074.53846154
155,9,4,2151.56410256,3972.84615385,2236.79487179,1092.94871795,2976.71794872,1931.41025641,1372.25641026
156,9,5,520.128205128,850.948717949,517.846153846,228.025641026,655.179487179,389.58974359,214.487179487
157,9,6,1214.87179487,1380.28205128,1290.17948718,405.871794872,1553.25641026,831.692307692,842.205128205
158,9,7,936.076923077,1851.0,1610.66666667,576.487179487,1536.97435897,664.641025641,357.461538462
159,9,8,2311.87179487,4610.64102564,3193.82051282,1236.25641026,3738.56410256,2565.94871795,2064.87179487
160,9,9,13788.5641026,8897.35897435,33655.2820513,20888.0512821,25272.7948718,17075.9230769,27417.6923077
161,9,10,1804.94871795,3330.87179487,2497.71794872,911.461538462,3004.25641026,2079.71794872,1298.64102564
162,9,11,1457.15384615,2604.38461538,1296.8974359,478.58974359,1886.94871795,1920.43589744,1252.61538462
